train_reviews,train_ratings
Wonderful Service,5
Good Night's Sleep While Exploring the Pacific Northwest,4
"Try to go elsewhere, bed bugs!",2
Good for location,3
Nice,5
Randolph Street Gem,5
Enjoyable stay,5
Downtown boutique hotel,4
Great Hotel,5
"Great stay, great staff!!!",5
"Incredible, Attentive Staff",5
Satisfies you need,4
Great hotel and location in San Francisco,4
Mishawaka work stay,5
"Good value, pleasant experience.",4
"Keep an eye on your possessions, cleaning staff steals !",1
Convenient location and self service,3
Exceptional Service by Shelton,5
Atencion personalizada,5
Cute little old school motel!,4
Nit impressed with the Quality of this Inn,2
Great place,5
Great location and good value,4
Perfect!,5
Lovely Hotel,4
Great Airport Hotel,5
We Liked It,4
Great Stay!,4
A Beautiful BB,5
Great Stay,5
Great Room at Great Location,4
Good Things in Small Packages !,5
This hotel is just ... okay,3
Would stay again,3
Staff very friendly,4
"Great hotel, great staff",5
Nice hotel,4
Great downtown hotel,5
Great Hotel Would Stay Again,5
Great hotel and service,4
Great Staff and Place,5
Stay in Atlanta Downtown,3
Second Stay,5
Wouldn't Stay Here Again,2
Nice place.,3
A room when away working.,5
Family vacation,5
Great hotel,5
Hampered by the TAC in his barefoot,4
Excellent stay,5
Nice stay,5
Great Value. A Few Accents You'll Like.,4
Good location,4
Clean and comfy,4
Great place to stay. Fantastic hot breakfast included.,5
Would go back,5
"Flea Bag, stay away",1
Alcatraz experience without going to the Alcatraz,5
Fresh and Clean,4
"Great location, comfortable rooms",4
Would stay here again,4
Perfect hotel for my birthday girls only week-end!,5
Great amenities + quick Love Field airport shuttle,5
stay fly,4
"Good location to fishermans wharf, ok hotel, very good service",3
The best deal if you travel on a budget,4
Great place to stay,5
"Bad experience, haven't even stayed there yet!",1
"Quick, but Nice",5
Drove an extra hour to be able to stay here,5
Very Clean Renovated. Indoor Pool,5
Well done Hotel Emma,5
My home away from home,5
Very Good Value,3
Kind Of Disappointed,3
Worth using,4
It's an Econo lodge...what do you expect,3
Comfortable,5
"Good Location, great staff and free wine during happy hour!",4
Very Charming and comfortable boutique hotel. Amazing Staff!,5
"Great location, clean and updated rooms, very friendly staff!",4
We Love this Resort,5
Great location,5
Clean Rooms,4
"Very nice, especially for the value",4
"Location, location, location",3
"Modern, clean, professional, friendly- best hotel in SA!",5
Worst hotel experience EVER!,1
Pass this one by.,1
Service Above and Beyond,5
Family Gathering,5
Very nice,4
Winter in Helen,5
Convenient location,4
Not what I was expecting,3
Met and exceeded !!,5
Excellent Stay,5
HOT WATER ISSUES!,2
Not Just an Airport Property - fantastic modern lobby and top staff,5
4 star for hotel-neighborhood would get 2 stars,4
Wildcat Weekend College Tour!,4
"Great price, great place",5
Perfect Location,4
GREAT WEEKEND,5
San Diego trip,4
Clean and simple,3
Hampton never fails you,5
"Reasonable hotel, nothing special",3
Immaculate with rock hard matresses,4
"Dirty, understaffed and dated",2
"Clean, neat and quiet",4
Just Wonderful!,5
Walking Distance to the Washington State Convention Center,4
Great location and service,5
Great Hotel and amazing staff,5
Classic French Quarter Hotel,5
Really good value,4
Cute and great location,5
Getting to Rochester MN from St Louis MO,3
Home Away From Home,5
Average hotel,3
Excellent stay!,5
Extraordinary Hotel Emma,5
Great business location. Walking distance to both GWCC and all the downtown bars/restaurants.,5
Relaxed design great location,5
Awful!,1
Excellent,5
Wonderful vacation !,5
Very clean and quiet!,5
Ran down property,2
Staff made my trip,5
A hidden gem,5
Another great Drury Inn,4
Great,5
Never got to stay!,3
Excellent Choice,5
Overall good stay,4
"Will NEVER stay any where else in San Diego, it's Perfect!",5
Pay o lot for average,3
Great time in San Diego,5
Just Average,3
aniversery,4
Business,4
SCAMMER's,1
Surprise visit with group of 17,5
Do not stay here.,1
Meh,3
"Old property, pleasant staff",3
I hate coming here,2
Best Airport Hotel I've Experienced,5
Guppys place or home away from home,5
Family Holiday June 2007,5
Right in the heart of the French Quarter,5
Simply Amazing!,5
Great customer service!,5
On my bucket list,5
2015 Jan Orlando Stay,5
unbelievable reservation,1
Greaty location and staff went WAY above and beyond to be helpful,5
"Nice, but never again...",2
Quiet,4
SF Vibe,4
Wonderful EVERYTHING!!!!!,5
Great location and very clean,4
Excellent Hotel in Key West,5
"Enjoable stay, bad wi-fi",4
One Star is one too many!,1
Great Place for a Visit to the Quarter,4
Hidden beauty and comfort!,5
Great deal!,4
Great hotel in great location,5
Location is great!,5
great location,5
Disaster,2
Weirdest mix of highs and lows,3
Great hotel neat n tidy,5
Stay Here!,5
Fairfield Inn was a good deal,4
Nice hotel,4
they charged my card,2
Great spot for a relaxing holiday,5
Nicely Renovated,5
New Year's Eve stay,4
A grand experience,5
SD,4
Nice hotel!,5
Perfect location and hotel for family weekend in Seattle!,5
Nice employees but old and black mold,1
Great Hotel!!!!!,5
Fantastic Hotel,5
Getaway weekend,5
First hawaii visit,4
Friendly staff saved the day,4
The best of Marriott,4
Ocean Fix,4
July trip,4
Poor.,1
good location/quality/price. only neg room was too small,4
Wonderful Place to stay.,5
Great Stay!,5
Good Disneyland option,4
HOTEL PARA CIRCO,1
Thankfully only one night,3
"Great location, service, room",5
Hampton inn oregon,5
Comfortable,5
vacation,4
Wedding,5
Beautiful Place!,5
New Orleans gem,4
Well maintained hotel,4
In desperate need of updating,2
"Great conference, but let down by the hotel. A",3
Great city centre hotel,4
Good value,4
My favorite hotel thus far,5
In the valet parking they stole in the car.,1
It's the little things that matter,4
Seattle,4
Very pleasant stay.,5
Could not have chose a better hotel,5
Adequate stopover,3
"Bugs everywhere, sadly falling apart, great location",2
Better Than I Expected,4
Loved Hyatt House for our pre-cruise visit!,5
Nice Hotel,5
Long Weekend in NOLA,4
Excellent stay - Total gem!,5
comfort and fully satisified,4
Ultimate Staycation,5
Only okay,2
Our new go-to,5
Great stay at very affordable rates!,5
August at the French Market Inn and The French Quarter,5
Our new home in New Orleans,5
Good hotel for the price,4
Kentucky,4
A Weekend Stay,5
Beware of Bed Bugs,2
Pleasant stay,5
Great Value...Great Location,5
Remodeling but still one of the best in the area!,5
Really charming and great location,5
Updated Hotel,5
Little Things Mean a Lot,5
Amazing,5
Great trip to San Francisco,4
"Average Hotel, Decent Rooms",3
Low Point of our AWESOME Orlando Vacation. Stay somewhere else.,2
Fell just a bit short of my expectations,3
Family trip,5
Perfect hotel for a Seaworld Vacation!,5
Clean and friendly,5
"Bigger closet, a balcony, and a laundry room !",5
Birthday Party,5
"Ok hampton inn, but a little noisy and A/C left a smell",4
Amazing!!,5
"Fantastic views, beautiful rooms",5
"Attention to every detail, supurb customer service, and well appointed guest rooms.",5
6 kids!,3
Pleasant stay,4
great place to stay ...,4
Perfect Hotel for Disney,5
Great value for Marriott experience,4
Great value!,4
Holiday Inn Express New York City Times Square,2
Weekend Getaway,5
Be careful,1
Great Place,5
Nice hotel,5
I recommend it !,5
My pick when staying in Atlanta,5
Delightful!,5
Best Western Stay For Conference,1
Great Hotel,5
Dogs are welcome,3
"Cute, quirky, and comfortable",5
So.... When the police show up,1
Rooms,3
Not great,2
Beautiful view of the river from beautiful room,5
Old and Tired,1
Great location,3
Fleas,1
Everything we were looking for,5
"Great location, wonderful staff",5
A Real Find for the Budget Conscious Picky Person,5
Always look forward to staying here,5
"Average, okay",3
Stay away!,1
So close,5
Our stay,5
Great place if you are visiting Disneyland,4
"Beautiful hotel, great location skimped on room amenities",4
Don't Be Fooled by Annex at THE Chelsea,1
Very nice place to stay!,4
Great place to stay!,5
Worst hotel ever!! Warning!!,1
Oasis in San Diego,4
Concierge made all the difference in our visit to Key West.,5
Good Location.,4
We switched hotels to here and were pleased!,4
A great stay near Waikiki,4
running a scam beware,1
Loved Our Stay,5
This is a review of service provided by Shalimar. I am using the time frame that we WOULD have been there.,5
park n fly,5
Staff was super nice,4
Fabulous Hotel under the space needle,5
Missed Opportunity,2
Great place for the price,3
Great Staff!,4
"Hospitable staff, clean, and close to ball field!",5
Race weekend stay,4
Wouldn't honor our reservation - steer clear,1
Perfect stay,5
Roach Den. Incompetent Staff,1
Good budget option clean and well located,3
"Attentive staff, good location and value for Waikiki",4
Best Western is a reliable stay,3
Good Place and Value,4
Hotel Abri is In the heart of the action!,4
Nice upgrade,5
"Great Little Hotel, but........",4
Relaxing weekend,4
"Good,clean hotel in Eads",4
Excellent Boutique Hostel in Waikiki,5
Cigarette smell,2
Southern Hospitality At Its Finest,5
3.5 out fo 5 for me. Here's why.,3
Great Stay,5
DO NOT STAY HERE,1
In Depth Evaluation!!,4
econo lodge at cuba missouri was a good experience,4
Poor management,2
Great Stay,5
Location,4
Great Location and Value,4
"Clean hotel, decent beds, a bit noisy, free wifi is okay",4
Great Place to Stay,5
Reasonable price and accomodations,3
Great choice,4
Worst Hotel Stay Of My Life!!!!,1
Nice Motel,4
Great place for a small business meeting. was very instrumental in getting us all set up.,5
Nice room but a lot of hidden costs,4
Plant a tree for us!.......................,5
Unique and wonderful,5
Air Conditioning couldn't cool the room,2
Good for the price,3
"Great boutique hotel, central location",5
"Great hotel, ideal location.",5
A delite to the senses!,5
Great Place!!,5
So Easy,5
Simply one of the best in Atlanta,5
Highly Recommended,5
Fun place to stay,4
So relaxing!,5
Spring break,5
Long on charm. Short on usability,3
Excellent Conrad stay,5
Aged Hotel,3
Awesome Stay,5
Steal of a deal,5
Will go back,5
Overnight stay,4
Do NOT book here - you will be scammed!,1
Memorable New Orleans Mardi Gras Vacation,5
"Very clean, convenient (choose interior room for quieter stay)",4
Easter vacation,5
Nicest Hampton EVER,4
Okay hotel - great location and free parking,3
you get what you pay for,3
Wanted to stay in Gettysburg.,4
"Great location, Nice hotel.",4
Wasn't as bas as the reviewers described!,4
Free Upgrade!,5
Great Room and Good Location,5
A good quality hotel,4
Very Clean,5
Fabulous Boutique Hotel,5
Love This Hip Little Gem!,5
Very nice hotel with a great location,4
A cozy stay,4
Lovely boutique hotel with a great location,5
Truly a great hotel,5
hotel review,3
pleasant stay,4
Nice Stay Overall,4
"Good location, clean, good breakfast, friendly staff",5
Great local hotel!,5
"Great Location, nothing else",3
Seattle favorite,5
Quality Hotel ! Will not disappoint !,5
"Nice Hotel, worth the price!",5
Second Ramada that was unsatisfactory,1
Chicago Vacation,5
Prime Location Great Staff,4
Disgusting,1
Delightful!!!,5
Overall great experience,4
Luxurious rooms and accommodating staff,5
Pleasant Surprise :),4
Great view!,5
What a amazing brunch!,5
Brilliant spot!,5
San Antonio brewery meets NYC loft,5
"Wow, just wow",5
Great Stay,5
Great Girls Weekend,5
"Great Value, So-So Location",4
Airport shuttle 24 hours.,4
Will NOT stay again.,1
"Ancient Internet Infrastructure, Small Rooms, Paper Walls",1
good stay but very thin walls,3
Pullout couch nightmare.,2
Good location and a nice room,4
Historical - Had to do it,3
Outstanding stay,5
Top Notch + Great Place to Lay Your Head,5
Long work week,5
Good for a short stay,3
Disappointing stay,3
Nice Hotel,4
Perfect for our needs!,4
It was cool,3
Did someone say water pressure!!,5
"If not for location, do not choose this one",1
Good Quality,4
Great Business Hotel,5
Great and affordable option in Napa!,5
Citrus Bowl and Disney Visit,5
Not to bad.....,3
Exactly what you think you'll get based on price..in a Good Way,5
nice hotel,4
Nice Location,4
Top Notch Hotel and Staff,5
Good Place in a Good Area,4
They Have Their Own Alcohol Laws,1
New favorite hotel while in the city!,5
Direct Access to Lenox Mall - Shop till you Drop,4
Incredible time,5
Got to say that LJ save our lives on our vacation thank you LJ,5
"Great room, fantastic service, beautiful atrium, and delicious breakfast",5
I can't wait to return!,5
A typical Holiday Inn Express,3
January Market,5
Great taste of real San Francisco Victorian hospitality.,5
Good spot and great breakfast!,4
Sheik Getaway,5
Traveling through...,2
Good for traveling with teens,3
A Lovely place to stay,4
Charming...,4
Thanksgiving Stay,5
Solid three. Good for the price,3
great,5
Beatiful Hampton Inn,5
Perfect for families,5
Always comfortable,5
Good Hampton Inn,4
Amazing location and staff a couple issues,4
Great service - Clean rooms,4
"Friendly service, clean sheets, but outdated",3
Pleased on my 2nd stay,5
"Aweful place, very dissapointed",1
A true gem,5
Diva Love!,5
Excellent customer service.,4
I always stay at Microtel,4
Good for the money,3
Great Service,5
Stolen camera in the lobby,1
Great Location,5
Great location very good hotel,4
Old,3
Depends what you want,3
too many cons to outweigh the pros-sorry BW,3
Do Not Recommend,1
Not too bad,3
Planning our next visit to Hotel Emma already,5
Fun day at the pool,4
Great Service. Facilities and best hotel fitness center,5
Carlos to the Rescue!,5
A Special Place to Go,5
orlando,5
You get what you pay for...,2
buena eleccion,4
"Location, Location, Location",4
"Inn at the Vines, Napa, CA",4
My first visit to NYC and the PC,4
Wonderful getaway and first visit to NOLA!,5
Top Notch Service,4
Good Hotel with a view,4
Great Location Free Parking,5
Affordable and Accommodating,4
Perfect place to stay in New Orleans,5
Not up to normal HGI standards,2
Recommend,4
Bad enough to not want to stay in any Quality brand hotel again,1
"A nice hotel, but a little loud",4
Such awesome service,5
A little disappointed,3
"Attention to detail, like no other hotel!",5
"The Hollander, what a true gem!",5
I like this place,4
Excellent motel,5
Another great stay,5
Not as good as I expected,3
Nice Hotel,4
New Favorite Hotel in New Orleans,5
Better than Holiday Inn,5
Family Time,5
Great Hotel,5
The best hotel in San Bernardino,5
Relaxing weekend!,5
"OK, but small smelly rooms.",3
Poor bar and Resturant facilities closed during our trip,3
"Ok location, room comfortable but small",4
"Comfortable, clean and close",4
NICE STAY,4
Very Clean and Beautiful Motel,1
Wonderful Experience! Beautiful Hotel!,5
Would Stay Again,4
A hotel with lots of character,5
Wonderful stay.,5
poor first impression for my family,2
Wow! Does it get better in San Fran!,5
"Very good, but not the best",4
Scores A+ in all areas,5
"Location, ambience and great service!",5
Hope to return soon,5
Speechless!! Treated like royalty!!!,5
A sweet retreat,5
"Great place, and will for sure be back",5
Road Trip,4
Okay hotel,3
Pleasant Hotel near Union Square,5
Good Place for Business Travelers,4
Would Stay Again,4
Could have been cleaner,3
Best place to stay in San Antonio,5
Kitchen/Restaurant Problems!,4
"Dirty, Unfriendly Staff!!!",1
Continuation of my previous review,1
"Great location, overpriced motel",3
"Great location, but the structure should be renovated",2
Great Stay,5
Right on Bourbon Street,5
Great hotel.,5
dirty room and shower,1
Great boutique hotel!,5
Brenna was a Rock Star!!,5
Good Value,4
Visit spoilt by faulty shower,3
Nice place but some glitches with charges,4
Nice place.,4
Comfortable and luxurious hotel,5
grand hotel!,5
Need Happy Hour,4
Not what we expected.,3
Nice getaway at a lovely hotel.,5
Stay to have Surgery,4
Great Stay in Seattle!!,5
nice,4
Overpriced and not up to Marriott standards,2
Very good service -Highly RECOMONDED. ...,5
A Very Quality Inn,5
"NOT, NOT, NOT ADA Compliant",1
The Worst Hotel I have every stayed at...,1
Pleased With Everything!!,5
Equestrian Training retreat,5
One Night Stay Before the Concert,5
Good Value with Some Limitations,3
Great location and price for family lodging.,4
SkyBar Restaurant,4
Whitney,4
Fantastic Location!,4
A bad experience this time around,2
Older but nice,4
Good Business Choice - excellent Breakfast,4
NRA Event,5
Great location !,4
Great location and close to attractions.,4
Great place,4
Decent Days Inn,3
A perfect oasis for couples!,5
Disappointed,2
Wanted a smokers room couldnt get one because of...,2
Great price,5
great Hyatt hotel,5
Pleasant Surprise!,5
Horrible treatment by hotel staff: worst ever!,2
Average place to stay with good location,3
Round Valley's Finest for families and friends,5
"Great value, interesting place",4
Awesome NOLA experience,5
"Convenient, reasonably priced, clean, comfortable!",5
A day away,5
So so BW,3
Great old place in downtown Portland,4
Great Place,5
Great place to stay in Frankenmuth Mi,5
almost great :-),4
Nice hotel,3
Comfortable rooms and good service,4
Clean and Comfortable,4
What a great Hotel to stay at - Amazing service,5
"Come for the view, stay for the concrete pillar",4
Boise Graduation Weekend,5
Very Good Hotel for Hospital Area,4
"Good hotel, noisy lifts",4
Excellent hotel,5
Cook food.. enjoy.. save money,4
Must Stay,4
Worst travel experience of my life- from a professional traveler,1
They win with service,4
"Fantastic hotel - great location, great restaurants, right on the beach",5
1st stay w Leah 2016,5
A long drive to Old Forge but it was worth it.,5
Very Nice Location!,5
The hotel was super clean the room was super clean the location of the hotel was excellent location,5
A great choice for a well located Hotel in SF,4
Now - THIS is luxury!,5
I LOVE AMERICA,4
Great Spot,4
Great Place for a Conference,5
Best deal in downtown Atlanta,5
terrible stay,1
"Adequate, but dirty",3
Wedding Anniversary,5
Hotel review,5
Trip to see the Atlanta Braves,5
Beautiful Resort,5
My New Favorite Place to Stay,5
Great Hotel and Great Staff!,5
Chesterfield Hilton Garden Inn,5
Clean Hotel - Nice Jr. Suites - Safe Parking (Overpriced),4
Perpetual Great Experience,5
"Great stay, fantastic value , very close to downtown.",5
Date night,5
Broken down in Mechanicsburg,2
Perfect location for tourists on foot,3
"Unsanitary, wet carpet and moldy smell",1
Cinnamon rolls.,5
Overpriced not clean.,1
Nice place to stay in old town,5
Great location,3
Friendly Staff good location,4
Great,5
Falsely advertised,1
Relax and feel at home .... in a Home2,5
Granddaughter's Grad,5
Musty smell,3
Never stay here again,1
Price/services its ok,3
Great Location to Downtown Area,4
Excellent experience,5
Great Stay walking distance to the convention center,5
Not great,2
"Good, but don't check in after dark",3
Family vacation August 2017,5
Dirty rude service,2
No parking for trucks with trailers,2
Chicago Conrad Christmas,5
Good hotel for family trip,4
friendly staff and clean hotel,4
Great hotel in the heart of New Orleans!,5
Shocked,2
Excellent!,5
"Hampton Inn Downtown Chicago, 68 E Wacker",5
Comfortable and not really that far from the city,4
One Night,3
Worst Hampton in the world,1
"Price and location, nice!",3
Excellent considering the price,5
Well maintained hotel,4
Very Nice Hotel,4
Pleasant surprise after a very long day of travel,5
Cockroaches!,1
Anniversary weekend!!!,5
INN Heaven!,5
18 wheeler,4
"issues, but still a nice stay",5
Trade show visit,4
I just loved New Orleans was a exciting place and also interesting history.,5
"Great value, clean, nice rooms, helpful staff",4
Good Business Hotel,4
Reasonable value for money in an expensive city,4
Oriana..The Best Front Desk Clerk Ever!!!,5
Awwsome hotel!!!!,5
Not a great experience at all.,2
Looks good on the outside but a real dump inside,2
Great management,4
Great Stay,5
Repeat customer,4
Veronica was very helpful. She searched and found my...,5
great place to stay,5
QUIET CLEAN NICE AREA,5
"Lots to like, but...",3
An excellent location for your stay in NO!,4
"Passing through, perfectly fine. Stopped at DQ right next door on way back through",5
More to Miami,5
Not A Happy Experience,1
Winnfield,4
Business Stay,5
Excellent value.,4
Loved this hotel,5
So near the Chincoteague Wildlife Refuge that you can walk or ride a bike,5
Great Hotel,5
Weekend Bargain,4
Needs alittle help,3
New hotel with a decent location,5
"Beautiful hotel, clean, great staff",5
Great Staff,5
Nice but...,3
Great Location ...,4
My review,5
Amazing,5
Stopover Hotel,4
"Great location, beautiful hotel, excellent service!",5
"Good Loacation, Service and Clean",4
Excellent Location,4
clean and quiet,5
Great stay for business,5
Every detail is perfection,5
This place is a huge rip off!,1
Great Hotel.,4
Bad experience,1
The service was good. The staff was friendly. The rooms...,4
Clean and comfortable,4
One of the best,4
Last night for these weary Road Warriors,3
Awesome,5
Perfect,5
This was an ok stay for one night...,3
Thoroughly enjoyed this trip,4
Enjoyable Rooms,5
"Poor Communication, Great Location",2
We liked it here,4
Nice hotel,3
Location location,4
Awful Experience,1
Great Location to enjoy La Jolla and SD,5
Good location,4
Avoid San Diego traffic,4
Now my toddler has fallen under the Roxbury Spell!,5
like being home,5
Great Service + Decor,5
Great place for locals not staying at the hotel,3
Just as good the 2nd time.,5
Awesome and well pleased,5
Relaxing,5
Convenient conference hotel,4
Great staff,4
A great location,3
Nice but terrible service!,1
Perfection PERIOD! This is a MUST read review.,5
"Classy, professional hotel",5
Nice Hotel,4
Not so much romance.,3
Very good hotel at a very reasonable price,4
"Friendly, relaxing place to spend a week",5
One night stay,3
Convalescence,5
Excellent experience,5
Nice Hotel,5
"Really friendly and helpful owners, good location",5
Classy and Kind!!,5
Big thanks to Tamika!,5
First choice for any return visit to San Diego,5
Nice and sooo close to Disneyland!,4
Short Visit during Mother's Day Week-end,5
Absolutely fantastic!!,5
Texas to Virginia,5
Great Location,4
"There was an episode of COPS right outside our hotel room. I would rather sleep in a tent with scorpians, then stay here",1
Be careful!!,3
No charge for parking,4
Impeccable,5
Great stay before after a cruise,5
Left my laptop at the hotel,5
Very Nice,5
Awesome Stay-cation,5
"UNIQUE hotel,but more amenities required",4
Very good,4
Great value and customer service!,4
Great location...not much else,2
Will not stay here again,2
Good option for LAX,4
Close to town and park,4
"Excellent location, good value",4
A Very Noisy Nights Rest!,2
Superior service,5
Superior Customer Service!,5
Terrific hotel for business trips.,4
Great location to San Diego sites.,4
Awesome Hotel,5
"Free shuttles into city, perfect rooms!",5
Shoreline Hotel Waikiki was perfect for what it was,4
Beautiful Hotel,5
Nice Hotel,5
Customer service excellent and hotel very nice,5
Hilton disappointed,2
Under construction,2
Boutique Hotel,4
Customer Service-Perfection,5
Recently Stayed at Homestead Perimeter for 3 Weeks,4
Clean and welcoming,5
No beach vacation here,1
Greatest time ever,5
Affordable,2
"Tower 1, are the Suites newer and better than Tower 2 the basic rooms",2
Hilton Garden Inn Orlando - Awesome!,5
"Remodeled, Clean room great for fishing trips",5
My Experience,5
Most excellent,5
Great Value Prime Location,4
Fantastic Service and Staff Contemporary Decor Ruins Historic Charm,3
A regular business stop,5
Above the Rest!,5
The View is like a movie!,5
a steal for the price,4
Excellent!,5
"Basic, basic motel style. Across street from Disney is the only good thing.",2
Good space for rate,4
Fantastic stay!,5
It was an okay stay,3
"Very comfortable, helpful staff",4
"Great location, well appointed rooms",4
"Easy check in, clean rooms",4
Nothing fabulous,3
Great location,5
Beware of hidden Urban Amenity Fee,1
Great airport hotel,4
Great view,4
"Pleasant, quiet, friendly",4
nothing special but great just to rest your head!,4
Business Trip 3/2/2016,5
Excellent,5
never again,2
Nice for a quick night!,4
Best hotel for Tulip Festival,5
One of a kind,5
Decent But Not Spectacular,3
"CAME THROUGH IN A PINCH, BUT BRING OUR OWN PILLOW!",2
Good hotel for the price,4
good stay at Hilton Garden Inn,4
"if you want a guaranteed room reservation, don't try this hotel...and bugs",1
Pleasantly Surprised - Great hotel,5
Plan to return had a wonderful stay,5
worst stay...left early,1
Great Bargain,4
What a Dump,1
Wingate is a Winner,5
"Good hotel, nice breakfast",4
Great staff,4
Never again,1
"Park, Sleep, Fly EPIC FAIL",3
Great concept... great service... noisy location.,4
Best hosts ever!,5
great hotel with a tie to local history,5
Good stay,3
Excellence of the Grand Hyatt Seattle,5
Craig and Steph,5
Biz in Florida,5
Better than I expected,4
Disappointing experience,2
Small and older place to stay,2
Great location and value,4
"Good weekend stay, but...",4
Thought it was great!,4
"Horrible, bedbags",1
Fantastic Hotel,5
"Good location, staff nice, hotel ok",3
Terrible Stay away,2
Weekend getaway and family visit,4
Wonderful,5
So great,5
Lovely boutique hotel downtown San Fran,4
wonderful stay,5
RR,5
Nice convention style hotel,4
Great night stay,4
The small-feel comfortable-manageable-greatly located - hotel,4
Very nice,5
Too much money for a less then average hotel,1
"Galleria Park Hotel, San Francisco",5
"Good hotel, difficult access",3
Disappointed,2
Nice hotel before our cruise,4
Great and Noisy Place to Stay,4
"Comfortable, Clean, Great Accommodations",4
Short nice,4
Only a parolee could love this place.,1
Felt Like A Resident,5
Great but not perfect,4
"Well located hotel, close enough to walk to everything and experience Honululu",5
Best place next to Sea World,5
Wonderful anniversary stay,5
Truly a culture of customer delight!,5
The Best Time!,5
Better than the average chain hotel,4
retraining,1
Thank you Valet!!!,5
Satisfying Stay,4
Great views of the Chicago River,5
A little bit pricey!,4
very good place,5
Well worth the stay,5
What a find - great all around place to stay!,5
"Multiple rooms on different nights, all good.",4
Great location,4
Won't be going back,1
Go somewhere else!,1
Great Family Hotel!,5
Stunning Jewel of a Find and wish Galleria was everywhere in the US,5
"One night, but will stay longer next time",5
Hotel Abril was a great location.,5
"Poor experience, but the place was okay",2
Good hotel but crummy TV,4
Great conference hotel,4
Back to the Past,3
Good price for being so close to Disney,3
fire adventures,3
What a difference a year makes.,2
Stylish update to an older building in the heart of Union Square,4
Amazing Hotel in perfect location!,5
Nice Clean Room,5
Fantastic!,5
Really nice service but a few glitches,3
"Great location, great place to stay",4
A fantastic base to stay at in the middle of the Big Apple!,4
Nice hotel with Exceptional Staff,5
A deal for the price,4
Not my first choice - but staff us excellent,3
Marriott Vacation Club,4
"Good service, reliable business",5
Drinks Only,5
Continental breakfast a little misleading but we forgive you!!,4
Great French Quarter Location,4
No Wireless working,3
"Clean, EZ On/Off I-40 Reasonable rates",3
Rough Start Turned To Diamond Experience!,4
Would stay here again,4
Wonderful stay at the Hotel Monaco,5
great hampton inn,5
Another great Marriott property,5
Very convenient to ORD transit,4
Not what you think....Please don't book here,1
False advertisement on shuttle service.,2
Fun and convenient,4
Go somewhere else,2
Best hotel in Key West!,5
So much fun!,5
Very nice experience,4
Modern and classy hotel,5
Classy hotel great location but avoid rip off mini bar!,4
Amazing property,5
"Nice property, clean and efficient",5
Brand new property,5
Great location and services at the right price,5
Perfect hotel in the French Quarter,5
Meh,3
san diego,3
Not A Very Nice Hotel With Constant Din of Background Traffic,2
Mini vacation,5
Clean and Good location,4
Stay in a tent first!,1
Hyatt House Seattle/Downtown Delivers!!!,5
Ham sweet Ham,4
Hampton Inn Buckhead,5
One of the top hotels in San Antonio,4
"Location,Location,Location",4
WOW ... what a surprise!,5
Emma I'm Glad I Met Ya!,5
Very good accommodations,4
Lovely Hotel,5
"Beautiful room, incredible staff and amazing customer service!",5
Decent hotel in a great location,3
Excellent Historic Hotel Worth a trip!,5
You get what you pay for!!!,3
Great Hotel,5
Service highly variable. Fridge kills food. Cramped workspace.,1
"Wow, excellent experience!",5
Pleasant surprise,5
A charmed trip..,5
Great value,5
Will go here again,3
Great Hotel near the Convention Center and Bourbon Street! M:),5
A Comfortable Stay,4
I wouldn't recommend this place to my enemies,1
Can't believe Marriott has adopted this policy at a premium hotel,1
Would stay again.,5
Wonderful stay!!,5
Cool but under renovations,4
What can I say.....,5
Good Quality Hotel for a Great price,5
Watch Out for This One,1
Good enough layover,3
Seedy Characters,3
Muy buen lugar para estar en el cnro de Miami,4
Luxury in the city,5
The Best Hotel in NY,5
"Very Dirty, Very Disappointing",1
"Great location, excellent personnel",5
DO NOT STAY HERE,1
Wonderful Gem,5
two pleasant nights in a great hotel and reasonable price,4
Great hotel in this part of the city,5
Great hotel,4
Couldn't Ask for a Better Place to Call Home,5
Great,4
Vandalized,3
Wonderful!,5
Completely...Average,3
5 star plain and simple,5
Excellent Hotel- Great location!,5
Great Time,5
Great place to stay in NOLA,5
Homewood Suites Lake Buena Vista,4
Clean,4
Great stay!,5
excellent,5
"Not the Ritz, but great proximity to the park, and clean.",4
GOOD OVERNIGHT STOP,4
Family stay,4
"Relaxing, Clean and Friendly Staff",4
Always Excellent!,5
Great location! Great views!,4
Amazingly fun!,5
Another great stay,5
"Close to Balboa Park, Old Town, and Downtown",5
Our Chicago Home Away From Home!,5
Great location but poor service,2
great (clean) place to stay for a great price with an excellent Staff,5
A nice hotel and convenient location,4
MY FAVORITE DOWNTOWN ATLANTA HOTEL,5
"Perfect location, but tiny rooms and noisy",3
Great Place to stay,5
Late September in NYC,4
Refund Relaxation!,5
A little disappointed,3
Nice place,4
The Hotel its self was beautiful.. Our issue/ problem was...,3
HAPPY CUSTOMER,5
Very nice!,3
Awesome!,5
Surprise Birthday Stay,5
Fantastic,5
"Mixed bag, it was okay",3
Excellent!,5
One of the Best,5
Location,4
Very Nice Hotel in Alice,4
"Great Location, Great price, Great Stay!",4
Brilliant if your a surfer,3
Nice room,4
Slightly disappointed...,3
Excellent Value,4
Oddly Paper Thin Walls in Newly Renovated Boutique Hotel,2
"Great Location, good price, small rooms",4
What you'd expect for the price,3
This is the place to stay!!,5
Loved it would definately stay again!,5
Great hotel right across the street from the Space Needle,5
